Id,Label
California,CA
Texas,TX
Florida,FL
Illinois,IL
New York,NY
Georgia,GA
Ohio,OH
Wisconsin,WI
Michigan,MI
Pennsylvania,PA
Tennessee,TN
North Carolina,NC
Indiana,IN
New Jersey,NJ
Arizona,AZ
Minnesota,MN
Missouri,MO
Alabama,AL
Colorado,CO
Massachusetts,MA
Virginia,VA
Louisiana,LA
Iowa,IA
South Carolina,SC
Oklahoma,OK
Utah,UT
Maryland,MD
Kentucky,KY
Washington,WA
Kansas,KS
Arkansas,AR
Nevada,NV
Mississippi,MS
Nebraska,NE
Connecticut,CT
Idaho,ID
New Mexico,NM
Puerto Rico,PR
South Dakota,SD
Oregon,OR
North Dakota,ND
Montana,MT
Rhode Island,RI
West Virginia,WV
Delaware,DE
Alaska,AK
Wyoming,WY
New Hampshire,NH
District of Columbia,DC
Hawaii,HI
Maine,ME
Guam,GU
Vermont,VT
Virgin Islands,VI
Northern Mariana Islands,MP
