state,TNC,TND
California,1343145,19877
Texas,1333809,23112
Florida,1049630,19083
Illinois,787373,14306
New York,700902,35658
Georgia,481126,9506
Ohio,467433,6947
Wisconsin,437919,3938
Michigan,425776,10313
Pennsylvania,416091,11331
Tennessee,388815,4851
North Carolina,388760,5547
Indiana,377792,6207
New Jersey,363822,17306
Arizona,361188,6940
Minnesota,345340,3979
Missouri,334688,4412
Alabama,267589,3877
Colorado,258215,3415
Massachusetts,252017,10953
Virginia,251175,4197
Louisiana,247177,6548
Iowa,243385,2682
South Carolina,229235,4519
Oklahoma,213245,1874
Utah,212877,939
Maryland,212545,4820
Kentucky,202201,2241
Washington,184079,3065
Kansas,171626,1786
Arkansas,169382,2620
Nevada,166187,2311
Mississippi,163691,3949
Nebraska,138568,1202
Connecticut,127715,5146
Idaho,109987,1037
New Mexico,106942,1738
Puerto Rico,89147,1184
South Dakota,85360,1091
Oregon,83244,1027
North Dakota,82510,1013
Montana,67092,735
Rhode Island,62137,1413
West Virginia,53574,829
Delaware,39096,782
Alaska,36083,136
Wyoming,35942,257
New Hampshire,24138,559
District of Columbia,22872,695
Hawaii,18484,261
Maine,13127,227
Guam,7946,114
Vermont,4894,79
Virgin Islands,1613,30
Northern Mariana Islands,108,2
